@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
-0.092,0.163,-0.049,5
-0.2,0.143,-0.047,5
-0.129,0.139,-0.025,5
0.202,0.126,0.022,5
-0.685,-0.45,-0.921,5
0.516,0.255,0.117,5
0.594,-0.906,0.096,5
-0.165,-0.071,-0.004,5
0.179,0.621,-0.378,5
0.067,-0.218,0.037,5
-0.271,-0.183,0,5
-0.643,-1.308,1.267,5
0.154,0.037,-0.178,5
-0.14,-1.102,2.277,5
-0.064,-0.065,-0.006,5
-0.018,-0.563,0.272,5
0.29,-0.08,-0.575,5
0.065,-0.306,-0.012,5
-0.188,-0.05,0.002,5
-0.335,0.176,-0.049,5
0.098,0.494,-0.004,6
0.389,-0.012,-0.016,4
0.882,0.326,-0.769,5
-0.529,0.143,-0.034,5
0.706,1.283,-3.03,5
-0.025,-0.031,0.035,5
0.033,-0.026,-0.04,4
0.399,-0.366,1.1,5
-0.128,0.005,0.031,5
0,0.169,-0.007,6
-0.136,-0.149,-0.063,5
0.032,0.09,-0.988,5
0.092,0.608,0.027,4
0.217,0.496,0.146,5
0.198,-0.331,0.072,5
0.089,0.098,0.006,6
-0.044,-0.424,0.025,5
0.722,0.595,-0.746,5
0.02,0.124,-0.008,5
0.281,0.017,0.086,5
-0.76,-0.128,-1.5,4
-0.299,0.343,-0.032,5
-0.047,0.212,-0.009,5
-0.642,-0.194,-0.055,5
-0.357,-0.119,0.055,5
-0.203,-1.703,3.426,5
-0.241,-0.081,-0.026,5
0.552,-0.073,-0.004,5
-0.253,-0.663,1.109,5
1.156,-0.4,3.424,5
-0.37,-0.145,-0.005,5
0.856,0.054,0.062,5
-0.033,0.231,-0.012,5
-0.239,-0.066,-0.01,6
0.112,-0.06,-0.049,5
0.052,0.573,-0.951,5
-0.327,0.069,0.155,5
-0.017,-0.506,0.243,5
-0.352,0.265,-0.031,5
0.024,0.021,-0.036,5
0.078,0.734,-0.199,5
-0.406,0.419,-0.266,4
-0.047,0.09,0.026,5
0.116,-0.025,-0.057,6
-0.358,0.149,0.039,5
-0.427,0.03,-0.449,5
0.176,-0.217,0.047,5
0.115,0.113,0.016,5
-0.036,-0.016,-0.029,5
0.23,0.351,-0.038,5
-0.464,-0.057,0.996,5
0.007,-0.125,0.017,5
-0.25,0.522,0.121,5
0.042,-0.109,0.142,5
-0.404,-0.575,1.032,5
-0.05,0.182,-0.179,5
-1.332,-0.247,-1.003,4
-0.363,-0.605,0.344,5
-1.099,-0.455,-0.73,5
-0.867,-0.284,-0.134,5
0.493,0.586,-0.028,5
-0.094,-0.325,0.478,5
-0.255,-0.644,-0.199,5
-0.524,0.062,0.008,5
0.361,0.156,0.038,4
0.233,0.357,0.182,5
0.078,0.01,0.044,5
-0.274,0.037,-0.25,5
0.212,0.616,-0.021,6
0.963,-0.099,0.131,5
-0.021,0.211,-0.024,5
-0.475,0.234,-0.065,5
0.225,0.147,-0.039,5
-0.102,-0.176,-0.005,5
-0.233,0.007,-0.02,5
-0.781,0.195,-0.011,5
0.328,-0.072,-0.141,5
-0.124,-0.017,0.043,5
0.307,0.489,-0.728,5
0.02,0.675,-0.912,5
-0.059,0.014,-0.01,5
-0.476,0.288,-0.053,5
-0.058,0.025,-0.008,5
0.42,-0.021,-0.035,5
0.204,-0.291,0.027,6
-0.434,-0.184,0.097,5
-0.441,0.045,0.007,5
0.215,0.279,-0.277,5
-0.324,0.372,0.021,5
-0.518,0.564,-0.051,5
-0.794,-0.423,-1.077,4
0.328,-0.063,-0.031,5
-0.581,-0.316,-0.725,5
-0.668,-0.36,-1.424,5
-0.013,0.279,-0.001,5
-0.118,0.049,-0.009,5
-0.701,0.416,-0.695,5
0.679,-0.775,3.194,5
0.235,0.068,0.379,5
0.108,0.49,0.011,5
-0.137,0.07,0.32,5
0.415,0.432,0.026,5
0.181,0.004,-0.138,4
-0.582,-0.684,0.517,5
-0.529,-0.057,0.566,5
-0.143,0.122,-0.004,5
0.063,-0.135,-0.014,5
-0.229,0.455,0.002,5
-0.326,-0.269,0.032,5
-0.158,-1.519,3.434,5
-0.252,0.012,0.406,5
-0.026,-0.028,0,5
0.704,-0.021,0.016,5
-0.007,0.474,0.094,4
0.559,0.305,-1.483,5
-0.529,-0.842,1.233,5
-0.028,0.242,0.003,5
0.018,-0.021,0.003,5
0.309,0.678,-0.813,4
-0.037,0.398,0.018,5
0.297,0.183,-0.012,4
-0.518,0.187,-0.614,6
-0.845,0.247,-0.226,5
0.405,0.685,-0.861,4
-0.675,-0.38,0.068,5
-0.72,0.033,-2.162,4
-0.77,-1.032,1.997,5
0.424,-1.202,3.953,5
0.39,0.134,-0.065,5
0.218,0.321,0,5
-0.264,0.419,0.04,5
-0.098,0.133,-0.022,5
-0.259,0.484,0.012,5
-0.253,0.39,-0.601,5
0.08,0.155,0.072,5
-0.019,0.394,-0.004,5
0.362,0.371,0.1,5
0.121,0.003,0.012,4
-0.578,-1.605,2.694,5
0.444,-0.806,-0.101,5
-0.138,0.022,-0.698,5
0.048,0.188,-0.529,6
-0.125,-0.023,0.032,5
-0.11,-0.007,0.052,5
-0.414,0.037,0.04,5
-0.863,-0.272,-0.866,5
0.142,0.173,0.025,5
0.1,0.055,-0.04,5
0.086,0.612,0.032,5
0.462,0.443,0.103,5
0.012,-0.178,0.747,5
-0.004,0.058,0.052,5
0.474,-0.015,-0.844,4
0.453,-0.11,-0.028,5
-0.179,-0.064,0.037,5
0.364,-0.174,0,5
-0.218,-0.259,-0.034,5
0.396,-0.415,0.069,5
-0.058,-0.172,-0.017,5
-0.158,0.494,-1.437,5
0.112,0.12,0.007,5
0.008,-0.073,0.005,5
-0.083,0.199,-0.114,5
0.572,0.199,0.547,5
-0.171,-0.524,0.009,5
0.143,0.353,0.002,6
-0.224,-0.473,0.124,5
0.021,0.288,0.021,5
-0.123,0.286,0.52,5
-0.682,0.569,-0.192,5
-0.429,0.31,-2.091,5
0.049,-0.082,0.125,5
-0.027,0.488,0.337,5
0.232,0.071,-0.783,5
0.049,-0.236,0.019,4
-0.314,-1.044,1.984,5
0.029,-0.049,0.018,5
-0.302,0.203,-0.028,5
