@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
0.539,-0.61,0.509,5
0,-0.146,-0.674,5
0.083,-0.079,-0.029,5
-0.137,0.049,-0.052,5
-0.038,-0.014,0.056,4
0.045,0.045,0.104,5
-0.567,0.403,0.018,5
0.328,0.162,-0.082,5
-0.156,-0.163,0.866,5
0.375,0.243,-0.023,5
-0.155,0.343,-0.03,5
0.092,0.285,0.007,5
-0.266,-0.055,-0.015,5
-0.053,0.28,-0.076,5
0.169,0.143,0.067,5
-0.029,0.136,0.012,5
-0.201,-0.178,0.051,5
0.403,-0.184,0.003,5
0.378,-0.018,-0.019,5
0.003,0.062,0.01,5
0.428,0.597,-0.053,5
-0.459,-0.242,-0.001,5
0.053,-1.022,0.901,5
-0.17,-0.063,-0.033,5
-0.361,0.13,-0.016,5
-1.246,-1.251,1.348,5
0.757,-0.353,-0.004,5
-0.111,0.291,0.159,5
-0.664,-0.397,-0.82,4
1.138,0.758,-0.938,5
0.001,-0.471,-0.004,5
0.826,0.742,-0.662,5
0.003,0.246,0.017,5
0.268,0.042,0.035,5
-0.16,-0.178,-0.253,5
-0.126,-0.602,1.322,5
-0.964,-0.202,-0.761,5
-0.155,0.104,0.011,4
0.173,0.611,-0.726,5
-0.516,-0.246,-1.382,5
-0.216,0.509,0.011,5
-0.014,0.317,-0.069,5
0.026,0.019,-0.009,5
-0.194,-0.113,0.048,5
0.352,0.115,0.528,5
-0.487,0.214,0.031,5
0.175,-0.156,-0.001,5
0.374,0.213,0.156,5
-0.089,0.03,0.04,5
0.315,0.333,-0.387,5
0.997,-0.034,0.752,5
-0.3,-0.13,0.249,5
0.171,-1.93,3.378,5
0.269,0.016,0.128,5
-0.157,0.267,0.054,5
0.219,0.118,-0.008,5
-0.014,-0.65,0.913,5
0.001,0.325,-0.041,5
-0.169,0.489,-0.009,5
0.339,-0.099,-0.01,5
-0.013,0.309,-0.036,5
-0.213,-0.104,0.155,5
-0.349,-0.111,0.018,6
0.05,0.266,0,4
0.1,0.211,-0.026,4
-0.001,-0.568,1.267,5
0.042,0.422,0.025,5
-0.628,0.447,-0.095,6
-0.323,-0.119,0.038,5
0.055,0.143,0.036,6
-0.402,0.435,-0.097,5
-0.071,0.191,0.049,5
-0.221,0.28,-0.032,5
1.239,-0.162,2.395,5
0.329,-0.103,-0.033,5
0.225,0.044,0.123,5
0.329,-0.007,-0.035,5
0.092,0.133,0.03,5
